BH3 	 4437971
BIGb0102 	 3977939
BIGb0106 	 3473937
BIGb0116 	 6674690
BIGb0119 	 5876513
BIGb0124 	 5041370
BIGb0125 	 5654511
BIGb0132 	 5878283
BIGb0135 	 4713344
BIGb0138 	 5696161
BIGb0145 	 4153535
BIGb0149 	 5715721
BIGb0152 	 5101147
BIGb0156 	 4835072
BIGb0163 	 5659304
BIGb0164 	 6862159
BIGb0165 	 6447208
BIGb0170 	 6540794
BIGb0172 	 5285727
BIGb0176 	 7070096
BIGb0188 	 5838597
BIGb0189 	 3592128
BIGb0196 	 4767243
BIGb0203 	 4002450
BIGb0206 	 4772377
BIGb0215 	 5875001
BIGb0219 	 4107559
BIGb0222 	 5799975
BIGb0227 	 4123033
BIGb0232 	 5892786
BIGb0234 	 5651394
BIGb0236 	 5669244
BIGb0239 	 4621315
BIGb0244 	 4024289
BIGb0267 	 5552315
BIGb0270 	 6820320
BIGb0273 	 6029677
BIGb0277 	 4326610
BIGb0278 	 5365825
BIGb0281 	 6869707
BIGb0359 	 5156665
BIGb0367 	 4522771
BIGb0381 	 6635677
BIGb0383 	 5157189
BIGb0389 	 5507505
BIGb0393 	 5276804
BIGb0399 	 5364974
BIGb0404 	 7041724
BIGb0405 	 4350622
BIGb0407 	 5703864
BIGb0408 	 6035537
BIGb0428 	 6777660
BIGb0435 	 5375827
BIGb0445 	 4453350
BIGb0450 	 7485435
BIGb0470 	 6403010
BIGb0471 	 4712845
BIGb0473 	 5689036
BIGb0477 	 5798431
BIGb0494 	 3594314
BIGb0523 	 5768437
BIGb0525 	 6738584
BIGb0552 	 5283101
BIGb0558 	 7485944
BIGb0603 	 5512419
BIGb0611 	 3579921
CEent1 	 4883450
JUb102 	 4131477
JUb104 	 6542741
JUb11 	 3819752
JUb111 	 3528738
JUb115 	 4090864
JUb117 	 4823768
JUb119 	 4058509
JUb129 	 4567647
JUb134 	 4184156
JUb18 	 3901141
JUb19 	 4669125
JUb20 	 6352044
JUb21 	 6373155
JUb23 	 4692219
JUb26 	 5455049
JUb275 	 4417981
JUb28 	 7046284
JUb34 	 3903046
JUb39 	 4542125
JUb42 	 7540465
JUb44 	 4744596
JUb45 	 6318458
JUb52 	 5214879
JUb53 	 5554618
JUb54 	 5917690
JUb56 	 6361013
JUb58 	 5548157
JUb65 	 3863023
JUb66 	 4649001
JUb7 	 5051493
JUb78 	 6337202
JUb8 	 6453393
JUb85 	 6196550
JUb87 	 5391630
JUb89 	 4110909
JUb90 	 3740957
JUb91 	 6001784
JUb96 	 5721292
MSPm1 	 5753824
MYb1 	 6165307
MYb10 	 4712264
MYb11 	 6202208
MYb114 	 6460239
MYb115 	 6368265
MYb117 	 6455091
MYb12 	 6166480
MYb121 	 5110351
MYb13 	 6166245
MYb137 	 4545792
MYb14 	 4709368
MYb15 	 4735187
MYb16 	 6167630
MYb17 	 6162993
MYb18 	 4709592
MYb181 	 5538156
MYb184 	 6210471
MYb185 	 4167463
MYb187 	 5838573
MYb19 	 4708957
MYb193 	 6315165
MYb2 	 6468568
MYb209 	 5841804
MYb211 	 4125854
MYb212 	 5552825
MYb213 	 3848258
MYb214 	 3785516
MYb216 	 4065616
MYb22 	 6165740
MYb220 	 5541402
MYb221 	 4125881
MYb222 	 3739048
MYb224 	 3974649
MYb227 	 4381059
MYb229 	 4064966
MYb23 	 5278284
MYb237 	 5024101
MYb238 	 4128337
MYb239 	 5069629
MYb24 	 4318022
MYb25 	 5095330
MYb27 	 3696738
MYb29 	 4900803
MYb3 	 6468784
MYb31 	 3471030
MYb32 	 4316756
MYb33 	 3467245
MYb37 	 5021548
MYb40 	 4313258
MYb43 	 4316417
MYb44 	 5094902
MYb45 	 4142559
MYb46 	 3469582
MYb48 	 5961781
MYb49 	 4905423
MYb5 	 4545503
MYb50 	 4315379
MYb51 	 5277229
MYb52 	 3469890
MYb53 	 6736071
MYb54 	 4316892
MYb56 	 6028405
MYb57 	 4772695
MYb58 	 5057405
MYb6 	 4735185
MYb60 	 5677589
MYb62 	 4221838
MYb63 	 7300318
MYb64 	 4215395
MYb66 	 3941923
MYb67 	 7294217
MYb68 	 5142724
MYb7 	 5239508
MYb70 	 5018766
MYb71 	 5489768
MYb72 	 4000738
MYb73 	 6445880
MYb75 	 5678769
MYb78 	 6107374
MYb9 	 6794009
OP50 	 4601451
